ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      1.00,    132.00,     16.00,      6.00,      1.00,      7.00,     33.00,         0,     23.00,     39.00,      1.00,     23.00,     40.00,     63.00
      1.00,    133.00,      1.00,         0,         0,         0,      1.00,         0,      1.00,      1.00,         0,      1.00,      1.00,      2.00
      1.00,    134.00,         0,      2.00,         0,         0,         0,         0,         0,      2.00,         0,      2.00,         0,      2.00
      1.00,    141.00,   4025.00,    629.00,      1.00,    694.00,   1997.00,      1.00,   4719.00,   2626.00,      2.00,   4655.00,   2692.00,   7347.00
      1.00,    142.00,  12426.00,   2203.00,     17.00,   5162.00,  14305.00,     24.00,  17588.00,  16508.00,     41.00,  14646.00,  19491.00,  34137.00
      1.00,    143.00,  16271.00,   3076.00,     47.00,  18495.00,  41076.00,     86.00,  34766.00,  44152.00,    133.00,  19394.00,  59657.00,  79051.00
      1.00,    151.00,    237.00,     47.00,         0,     50.00,    103.00,         0,    287.00,    150.00,         0,    284.00,    153.00,    437.00
      1.00,    152.00,    595.00,    113.00,         0,    120.00,    209.00,         0,    715.00,    322.00,         0,    708.00,    329.00,   1037.00
      1.00,    153.00,    798.00,    140.00,         0,    163.00,    274.00,         0,    961.00,    414.00,         0,    938.00,    437.00,   1375.00
      1.00,    163.00,     84.00,     19.00,         0,     14.00,     18.00,         0,     98.00,     37.00,         0,    103.00,     32.00,    135.00
      1.00,    164.00,      7.00,      1.00,         0,      6.00,     11.00,         0,     13.00,     12.00,         0,      8.00,     17.00,     25.00
      1.00,    171.00,    137.00,     22.00,         0,     28.00,     96.00,         0,    165.00,    118.00,         0,    159.00,    124.00,    283.00
      1.00,    172.00,     26.00,      3.00,         0,     18.00,     35.00,         0,     44.00,     38.00,         0,     29.00,     53.00,     82.00
      1.00,    173.00,    262.00,     28.00,         0,     73.00,    172.00,         0,    335.00,    200.00,         0,    290.00,    245.00,    535.00
      1.00,    181.00,      3.00,      3.00,         0,      1.00,      1.00,         0,      4.00,      4.00,         0,      6.00,      2.00,      8.00
      1.00,    182.00,      1.00,         0,         0,      1.00,      1.00,         0,      2.00,      1.00,         0,      1.00,      2.00,      3.00
      1.00,    191.00,    222.00,     24.00,         0,     46.00,     77.00,      1.00,    268.00,    101.00,      1.00,    246.00,    124.00,    370.00
      1.00,    192.00,    111.00,     20.00,         0,     28.00,     88.00,         0,    139.00,    108.00,         0,    131.00,    116.00,    247.00
      2.00,      1.00,  18168.00,   3405.00,    145.00,  23860.00,  49727.00,    272.00,  42028.00,  53132.00,    417.00,  21718.00,  73859.00,  95577.00
      2.00,      2.00,  29510.00,   5131.00,    207.00,  61820.00, 114119.00,    384.00,  91330.00, 119250.00,    591.00,  34848.00, 176323.00, 211171.00
      2.00,      3.00,   7535.00,   1272.00,    206.00,   6919.00,  13929.00,    231.00,  14454.00,  15201.00,    437.00,   9013.00,  21079.00,  30092.00
      2.00,      4.00,   2353.00,    349.00,    316.00,    453.00,   1186.00,     74.00,   2806.00,   1535.00,    390.00,   3018.00,   1713.00,   4731.00
      2.00,      5.00,    361.00,     64.00,     53.00,     57.00,    112.00,      8.00,    418.00,    176.00,     61.00,    478.00,    177.00,    655.00
      2.00,      6.00,   1237.00,    214.00,    307.00,    236.00,    754.00,    144.00,   1473.00,    968.00,    451.00,   1758.00,   1134.00,   2892.00
      2.00,      7.00,    244.00,     52.00,     29.00,     56.00,     80.00,     25.00,    300.00,    132.00,     54.00,    325.00,    161.00,    486.00
      2.00,      8.00,    703.00,    134.00,    605.00,     93.00,    265.00,     98.00,    796.00,    399.00,    703.00,   1442.00,    456.00,   1898.00
      2.00,      9.00,    197.00,     50.00,     32.00,     48.00,     92.00,     11.00,    245.00,    142.00,     43.00,    279.00,    151.00,    430.00
      2.00,     10.00,     53.00,      7.00,      1.00,     19.00,     92.00,         0,     72.00,     99.00,      1.00,     61.00,    111.00,    172.00
      2.00,     11.00,    230.00,     56.00,     26.00,     21.00,    110.00,      5.00,    251.00,    166.00,     31.00,    312.00,    136.00,    448.00
      2.00,     12.00,     56.00,      7.00,      1.00,     19.00,     42.00,      1.00,     75.00,     49.00,      2.00,     64.00,     62.00,    126.00
      2.00,     15.00,    240.00,     34.00,         0,     54.00,    124.00,         0,    294.00,    158.00,         0,    274.00,    178.00,    452.00
      2.00,     16.00,    157.00,     14.00,         0,     43.00,    100.00,         0,    200.00,    114.00,         0,    171.00,    143.00,    314.00
      2.00,     17.00,   2706.00,    471.00,      1.00,   1253.00,   3901.00,         0,   3959.00,   4372.00,      1.00,   3178.00,   5154.00,   8332.00
      2.00,     18.00,   2898.00,    490.00,      7.00,   1778.00,   4642.00,      6.00,   4676.00,   5132.00,     13.00,   3395.00,   6426.00,   9821.00
      2.00,     21.00,     80.00,     19.00,     32.00,     11.00,      5.00,      1.00,     91.00,     24.00,     33.00,    131.00,     17.00,    148.00
      2.00,     22.00,    113.00,     36.00,      2.00,     30.00,     31.00,      3.00,    143.00,     67.00,      5.00,    151.00,     64.00,    215.00
      2.00,     23.00,     65.00,     23.00,      5.00,     10.00,     13.00,         0,     75.00,     36.00,      5.00,     93.00,     23.00,    116.00
      2.00,     24.00,     51.00,     10.00,         0,     10.00,     30.00,         0,     61.00,     40.00,         0,     61.00,     40.00,    101.00
      2.00,     31.00,   1363.00,    265.00,         0,    494.00,   1306.00,     12.00,   1857.00,   1571.00,     12.00,   1628.00,   1812.00,   3440.00
      2.00,     32.00,   6306.00,   1131.00,     13.00,   7372.00,  17773.00,     20.00,  13678.00,  18904.00,     33.00,   7450.00,  25165.00,  32615.00
      2.00,     33.00,    252.00,     47.00,         0,     63.00,     89.00,         0,    315.00,    136.00,         0,    299.00,    152.00,    451.00
      2.00,     34.00,    910.00,    159.00,         0,    370.00,   1042.00,     10.00,   1280.00,   1201.00,     10.00,   1069.00,   1422.00,   2491.00
      2.00,     35.00,   1779.00,    314.00,     17.00,    582.00,   1491.00,      6.00,   2361.00,   1805.00,     23.00,   2110.00,   2079.00,   4189.00
      2.00,     36.00,    330.00,     49.00,      3.00,     88.00,    253.00,         0,    418.00,    302.00,      3.00,    382.00,    341.00,    723.00
      2.00,     41.00,   3814.00,    659.00,    124.00,   2567.00,   5938.00,     77.00,   6381.00,   6597.00,    201.00,   4597.00,   8582.00,  13179.00
      2.00,     43.00,    736.00,    129.00,     36.00,    222.00,    738.00,     51.00,    958.00,    867.00,     87.00,    901.00,   1011.00,   1912.00
      2.00,     44.00,    956.00,    177.00,      9.00,    439.00,    926.00,     11.00,   1395.00,   1103.00,     20.00,   1142.00,   1376.00,   2518.00
      2.00,     45.00,     88.00,     13.00,     10.00,     19.00,     67.00,      3.00,    107.00,     80.00,     13.00,    111.00,     89.00,    200.00
      2.00,     46.00,    103.00,     14.00,     12.00,     19.00,     64.00,      9.00,    122.00,     78.00,     21.00,    129.00,     92.00,    221.00
      2.00,     47.00,    181.00,     32.00,     16.00,     38.00,    105.00,      4.00,    219.00,    137.00,     20.00,    229.00,    147.00,    376.00
      2.00,     48.00,    176.00,     30.00,      6.00,     62.00,    127.00,      2.00,    238.00,    157.00,      8.00,    212.00,    191.00,    403.00
      2.00,     49.00,    160.00,     23.00,         0,     38.00,     81.00,      1.00,    198.00,    104.00,      1.00,    183.00,    120.00,    303.00
      2.00,     51.00,     41.00,     11.00,         0,     16.00,     50.00,         0,     57.00,     61.00,         0,     52.00,     66.00,    118.00
      2.00,     52.00,    119.00,     14.00,         0,     32.00,     42.00,         0,    151.00,     56.00,         0,    133.00,     74.00,    207.00
      2.00,     61.00,     16.00,         0,         0,     11.00,     11.00,         0,     27.00,     11.00,         0,     16.00,     22.00,     38.00
      2.00,     62.00,     24.00,      9.00,         0,     14.00,     23.00,         0,     38.00,     32.00,         0,     33.00,     37.00,     70.00
      2.00,     71.00,   1175.00,    220.00,         0,    311.00,    750.00,         0,   1486.00,    970.00,         0,   1395.00,   1061.00,   2456.00
      2.00,     72.00,   2221.00,    433.00,      3.00,   1378.00,   3370.00,      4.00,   3599.00,   3803.00,      7.00,   2657.00,   4752.00,   7409.00
      2.00,     73.00,    325.00,     51.00,         0,     57.00,    203.00,         0,    382.00,    254.00,         0,    376.00,    260.00,    636.00
      2.00,     74.00,   5044.00,    917.00,     15.00,   4915.00,  11796.00,     12.00,   9959.00,  12713.00,     27.00,   5976.00,  16723.00,  22699.00
      2.00,     75.00,    525.00,     89.00,         0,    245.00,    521.00,         0,    770.00,    610.00,         0,    614.00,    766.00,   1380.00
      2.00,     76.00,    340.00,     57.00,         0,     71.00,    231.00,         0,    411.00,    288.00,         0,    397.00,    302.00,    699.00
      2.00,     81.00,     48.00,      9.00,         0,     16.00,     22.00,         0,     64.00,     31.00,         0,     57.00,     38.00,     95.00
      2.00,     82.00,     27.00,     10.00,         0,      7.00,     13.00,         0,     34.00,     23.00,         0,     37.00,     20.00,     57.00
      2.00,     83.00,     37.00,      8.00,      1.00,     16.00,     44.00,         0,     53.00,     52.00,      1.00,     46.00,     60.00,    106.00
      2.00,     91.00,     42.00,      6.00,         0,     10.00,      6.00,         0,     52.00,     12.00,         0,     48.00,     16.00,     64.00
      2.00,     92.00,     45.00,      3.00,         0,     15.00,     54.00,         0,     60.00,     57.00,         0,     48.00,     69.00,    117.00
      2.00,    101.00,    105.00,     18.00,         0,     23.00,     70.00,         0,    128.00,     88.00,         0,    123.00,     93.00,    216.00
      2.00,    102.00,     69.00,      4.00,         0,     20.00,     38.00,         0,     89.00,     42.00,         0,     73.00,     58.00,    131.00
      2.00,    111.00,     46.00,      9.00,         0,      8.00,      9.00,         0,     54.00,     18.00,         0,     55.00,     17.00,     72.00
      2.00,    112.00,     45.00,      6.00,         0,     24.00,     28.00,         0,     69.00,     34.00,         0,     51.00,     52.00,    103.00
      2.00,    113.00,     58.00,     13.00,         0,     22.00,     52.00,         0,     80.00,     65.00,         0,     71.00,     74.00,    145.00
      2.00,    114.00,    193.00,     37.00,         0,     52.00,    108.00,         0,    245.00,    145.00,         0,    230.00,    160.00,    390.00
      2.00,    121.00,      9.00,         0,         0,      4.00,      4.00,         0,     13.00,      4.00,         0,      9.00,      8.00,     17.00
      2.00,    122.00,      1.00,         0,         0,         0,         0,         0,      1.00,         0,         0,      1.00,         0,      1.00
      2.00,    123.00,      4.00,      2.00,         0,      2.00,         0,         0,      6.00,      2.00,         0,      6.00,      2.00,      8.00
      2.00,    124.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      2.00,    131.00,      3.00,         0,         0,         0,         0,         0,      3.00,         0,         0,      3.00,         0,      3.00
      2.00,    132.00,     17.00,      2.00,         0,      9.00,     11.00,         0,     26.00,     13.00,         0,     19.00,     20.00,     39.00
      2.00,    133.00,         0,         0,         0,      2.00,      1.00,         0,      2.00,      1.00,         0,         0,      3.00,      3.00
      2.00,    134.00,      3.00,         0,         0,      1.00,         0,         0,      4.00,         0,         0,      3.00,      1.00,      4.00
      2.00,    141.00,   1146.00,    170.00,      1.00,    172.00,    531.00,         0,   1318.00,    701.00,      1.00,   1317.00,    703.00,   2020.00
      2.00,    142.00,   2890.00,    460.00,         0,    697.00,   2201.00,      1.00,   3587.00,   2661.00,      1.00,   3350.00,   2899.00,   6249.00
      2.00,    143.00,   2385.00,    478.00,      2.00,   1334.00,   3822.00,      7.00,   3719.00,   4300.00,      9.00,   2865.00,   5163.00,   8028.00
      2.00,    151.00,     61.00,     11.00,         0,     19.00,     54.00,         0,     80.00,     65.00,         0,     72.00,     73.00,    145.00
      2.00,    152.00,    178.00,     30.00,         0,     24.00,     73.00,         0,    202.00,    103.00,         0,    208.00,     97.00,    305.00
      2.00,    153.00,    180.00,     35.00,         0,     31.00,     93.00,         0,    211.00,    128.00,         0,    215.00,    124.00,    339.00
      2.00,    163.00,     37.00,      7.00,         0,     11.00,     35.00,         0,     48.00,     42.00,         0,     44.00,     46.00,     90.00
      2.00,    164.00,      1.00,      1.00,         0,         0,      1.00,         0,      1.00,      2.00,         0,      2.00,      1.00,      3.00
      2.00,    171.00,    119.00,     14.00,         0,     39.00,     52.00,         0,    158.00,     66.00,         0,    133.00,     91.00,    224.00
      2.00,    172.00,     18.00,      4.00,         0,      8.00,     29.00,         0,     26.00,     33.00,         0,     22.00,     37.00,     59.00
      2.00,    173.00,    245.00,     45.00,         0,     47.00,     94.00,         0,    292.00,    139.00,         0,    290.00,    141.00,    431.00
      2.00,    181.00,      3.00,      1.00,         0,      2.00,      1.00,         0,      5.00,      2.00,         0,      4.00,      3.00,      7.00
      2.00,    182.00,      2.00,      1.00,         0,         0,         0,         0,      2.00,      1.00,         0,      3.00,         0,      3.00
      2.00,    191.00,     75.00,      9.00,         0,     12.00,     37.00,         0,     87.00,     46.00,         0,     84.00,     49.00,    133.00
      2.00,    192.00,     42.00,     10.00,         0,     14.00,     16.00,         0,     56.00,     26.00,         0,     52.00,     30.00,     82.00
      3.00,      1.00,   7580.00,   1338.00,    294.00,   2957.00,   6291.00,    159.00,  10537.00,   7629.00,    453.00,   9212.00,   9407.00,  18619.00
      3.00,      2.00,   7990.00,   1325.00,    214.00,   6994.00,  14022.00,    229.00,  14984.00,  15347.00,    443.00,   9529.00,  21245.00,  30774.00
      3.00,      3.00,  49577.00,   7517.00,   1359.00,  90408.00, 111173.00,   1601.00, 139985.00, 118690.00,   2960.00,  58453.00, 203182.00, 261635.00
      3.00,      4.00,  11940.00,   1734.00,   1197.00,   9391.00,  14579.00,    627.00,  21331.00,  16313.00,   1824.00,  14871.00,  24597.00,  39468.00
      3.00,      5.00,   1832.00,    350.00,    458.00,    600.00,   1008.00,    110.00,   2432.00,   1358.00,    568.00,   2640.00,   1718.00,   4358.00
      3.00,      6.00,   5524.00,    900.00,   1648.00,   1673.00,   2823.00,    515.00,   7197.00,   3723.00,   2163.00,   8072.00,   5011.00,  13083.00
      3.00,      7.00,   1436.00,    256.00,    590.00,    277.00,    340.00,    140.00,   1713.00,    596.00,    730.00,   2282.00,    757.00,   3039.00
      3.00,      8.00,   2475.00,    501.00,   2131.00,    534.00,   1061.00,    478.00,   3009.00,   1562.00,   2609.00,   5107.00,   2073.00,   7180.00
      3.00,      9.00,   1103.00,    281.00,    534.00,    199.00,    341.00,    102.00,   1302.00,    622.00,    636.00,   1918.00,    642.00,   2560.00
      3.00,     10.00,    441.00,     87.00,     40.00,     87.00,    129.00,     15.00,    528.00,    216.00,     55.00,    568.00,    231.00,    799.00
      3.00,     11.00,    854.00,    214.00,    331.00,     82.00,    186.00,     50.00,    936.00,    400.00,    381.00,   1399.00,    318.00,   1717.00
      3.00,     12.00,    541.00,    113.00,    129.00,     59.00,    133.00,     20.00,    600.00,    246.00,    149.00,    783.00,    212.00,    995.00
      3.00,     15.00,    190.00,     32.00,         0,     34.00,     50.00,         0,    224.00,     82.00,         0,    222.00,     84.00,    306.00
      3.00,     16.00,     86.00,     18.00,         0,     28.00,     54.00,         0,    114.00,     72.00,         0,    104.00,     82.00,    186.00
      3.00,     17.00,   1509.00,    274.00,      5.00,    373.00,    979.00,      3.00,   1882.00,   1253.00,      8.00,   1788.00,   1355.00,   3143.00
      3.00,     18.00,   1920.00,    303.00,      7.00,    469.00,    990.00,     12.00,   2389.00,   1293.00,     19.00,   2230.00,   1471.00,   3701.00
      3.00,     21.00,    245.00,     69.00,    137.00,     17.00,     56.00,      8.00,    262.00,    125.00,    145.00,    451.00,     81.00,    532.00
      3.00,     22.00,    532.00,    164.00,     58.00,     74.00,    129.00,      8.00,    606.00,    293.00,     66.00,    754.00,    211.00,    965.00
      3.00,     23.00,    394.00,    117.00,    117.00,     40.00,     72.00,      9.00,    434.00,    189.00,    126.00,    628.00,    121.00,    749.00
      3.00,     24.00,    292.00,     88.00,     27.00,     55.00,    168.00,      5.00,    347.00,    256.00,     32.00,    407.00,    228.00,    635.00
      3.00,     31.00,   2163.00,    390.00,     18.00,    447.00,    948.00,     13.00,   2610.00,   1338.00,     31.00,   2571.00,   1408.00,   3979.00
      3.00,     32.00,   8073.00,   1397.00,     63.00,   6819.00,  13671.00,     84.00,  14892.00,  15068.00,    147.00,   9533.00,  20574.00,  30107.00
      3.00,     33.00,    818.00,    129.00,      7.00,    214.00,    359.00,      8.00,   1032.00,    488.00,     15.00,    954.00,    581.00,   1535.00
      3.00,     34.00,   1685.00,    309.00,     17.00,    890.00,   1580.00,     14.00,   2575.00,   1889.00,     31.00,   2011.00,   2484.00,   4495.00
      3.00,     35.00,   8386.00,   1300.00,     93.00,   7162.00,  10090.00,     94.00,  15548.00,  11390.00,    187.00,   9779.00,  17346.00,  27125.00
      3.00,     36.00,   1930.00,    297.00,     72.00,    689.00,   1554.00,     18.00,   2619.00,   1851.00,     90.00,   2299.00,   2261.00,   4560.00
      3.00,     41.00,  20936.00,   3438.00,    746.00,  30706.00,  42731.00,    719.00,  51642.00,  46169.00,   1465.00,  25120.00,  74156.00,  99276.00
      3.00,     43.00,   2929.00,    440.00,    242.00,   1182.00,   1998.00,    100.00,   4111.00,   2438.00,    342.00,   3611.00,   3280.00,   6891.00
      3.00,     44.00,   4102.00,    689.00,    217.00,   1706.00,   2911.00,     85.00,   5808.00,   3600.00,    302.00,   5008.00,   4702.00,   9710.00
      3.00,     45.00,    579.00,    104.00,    188.00,    119.00,    237.00,     44.00,    698.00,    341.00,    232.00,    871.00,    400.00,   1271.00
      3.00,     46.00,    513.00,     82.00,    143.00,    125.00,    194.00,     28.00,    638.00,    276.00,    171.00,    738.00,    347.00,   1085.00
      3.00,     47.00,   1345.00,    249.00,    304.00,    183.00,    414.00,     66.00,   1528.00,    663.00,    370.00,   1898.00,    663.00,   2561.00
      3.00,     48.00,   1384.00,    226.00,    212.00,    140.00,    403.00,     31.00,   1524.00,    629.00,    243.00,   1822.00,    574.00,   2396.00
      3.00,     49.00,    868.00,    165.00,    116.00,    130.00,    211.00,     20.00,    998.00,    376.00,    136.00,   1149.00,    361.00,   1510.00
      3.00,     51.00,    343.00,     64.00,      9.00,     64.00,    167.00,      2.00,    407.00,    231.00,     11.00,    416.00,    233.00,    649.00
