ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
      9.00,    151.00,      3.00,         0,         0,      1.00,      6.00,         0,      4.00,      6.00,         0,      3.00,      7.00,     10.00
      9.00,    152.00,      4.00,      3.00,         0,      2.00,     15.00,         0,      6.00,     18.00,         0,      7.00,     17.00,     24.00
      9.00,    153.00,     23.00,      6.00,      3.00,     11.00,      9.00,         0,     34.00,     15.00,      3.00,     32.00,     20.00,     52.00
      9.00,    163.00,    348.00,     63.00,      1.00,     75.00,    106.00,      3.00,    423.00,    169.00,      4.00,    412.00,    184.00,    596.00
      9.00,    164.00,     44.00,      8.00,         0,     15.00,     12.00,         0,     59.00,     20.00,         0,     52.00,     27.00,     79.00
      9.00,    171.00,     34.00,      5.00,         0,     12.00,     32.00,         0,     46.00,     37.00,         0,     39.00,     44.00,     83.00
      9.00,    172.00,     21.00,      7.00,         0,      7.00,     29.00,         0,     28.00,     36.00,         0,     28.00,     36.00,     64.00
      9.00,    173.00,    234.00,     20.00,         0,     70.00,    194.00,         0,    304.00,    214.00,         0,    254.00,    264.00,    518.00
      9.00,    181.00,    118.00,     18.00,         0,     21.00,     60.00,         0,    139.00,     78.00,         0,    136.00,     81.00,    217.00
      9.00,    182.00,     71.00,     11.00,         0,     21.00,     35.00,         0,     92.00,     46.00,         0,     82.00,     56.00,    138.00
      9.00,    191.00,     80.00,     20.00,         0,     20.00,     52.00,      1.00,    100.00,     72.00,      1.00,    100.00,     73.00,    173.00
      9.00,    192.00,     30.00,      1.00,         0,     18.00,     16.00,         0,     48.00,     17.00,         0,     31.00,     34.00,     65.00
     10.00,      1.00,     91.00,     15.00,         0,     38.00,     45.00,         0,    129.00,     60.00,         0,    106.00,     83.00,    189.00
     10.00,      2.00,     85.00,     13.00,      1.00,     22.00,     21.00,         0,    107.00,     34.00,      1.00,     99.00,     43.00,    142.00
     10.00,      3.00,    531.00,     79.00,     37.00,    110.00,    205.00,      8.00,    641.00,    284.00,     45.00,    647.00,    323.00,    970.00
     10.00,      4.00,    775.00,    149.00,     84.00,    211.00,    432.00,      7.00,    986.00,    581.00,     91.00,   1008.00,    650.00,   1658.00
     10.00,      5.00,    905.00,    169.00,     13.00,    503.00,    960.00,      9.00,   1408.00,   1129.00,     22.00,   1087.00,   1472.00,   2559.00
     10.00,      6.00,   1136.00,    163.00,    153.00,    457.00,    957.00,     86.00,   1593.00,   1120.00,    239.00,   1452.00,   1500.00,   2952.00
     10.00,      7.00,   2705.00,    490.00,     43.00,   4035.00,   8736.00,     81.00,   6740.00,   9226.00,    124.00,   3238.00,  12852.00,  16090.00
     10.00,      8.00,   1349.00,    238.00,    453.00,    507.00,   1104.00,    169.00,   1856.00,   1342.00,    622.00,   2040.00,   1780.00,   3820.00
     10.00,      9.00,    755.00,    159.00,      9.00,    489.00,   1116.00,     18.00,   1244.00,   1275.00,     27.00,    923.00,   1623.00,   2546.00
     10.00,     10.00,   7841.00,   1346.00,     16.00,  15241.00,  30933.00,     27.00,  23082.00,  32279.00,     43.00,   9203.00,  46201.00,  55404.00
     10.00,     11.00,   2037.00,    370.00,     18.00,   1941.00,   5044.00,     30.00,   3978.00,   5414.00,     48.00,   2425.00,   7015.00,   9440.00
     10.00,     12.00,   3085.00,    601.00,     16.00,   3710.00,  10356.00,     30.00,   6795.00,  10957.00,     46.00,   3702.00,  14096.00,  17798.00
     10.00,     15.00,      6.00,      1.00,         0,      2.00,         0,         0,      8.00,      1.00,         0,      7.00,      2.00,      9.00
     10.00,     16.00,      1.00,         0,         0,      2.00,         0,         0,      3.00,         0,         0,      1.00,      2.00,      3.00
     10.00,     17.00,     22.00,      6.00,         0,      7.00,     22.00,         0,     29.00,     28.00,         0,     28.00,     29.00,     57.00
     10.00,     18.00,     86.00,      7.00,         0,     14.00,     24.00,         0,    100.00,     31.00,         0,     93.00,     38.00,    131.00
     10.00,     21.00,    938.00,    142.00,     47.00,    304.00,    614.00,      6.00,   1242.00,    756.00,     53.00,   1127.00,    924.00,   2051.00
     10.00,     22.00,    658.00,    119.00,      2.00,    254.00,    448.00,      2.00,    912.00,    567.00,      4.00,    779.00,    704.00,   1483.00
     10.00,     23.00,    520.00,    113.00,         0,    250.00,    600.00,         0,    770.00,    713.00,         0,    633.00,    850.00,   1483.00
     10.00,     24.00,    275.00,     54.00,         0,     93.00,    183.00,      1.00,    368.00,    237.00,      1.00,    329.00,    277.00,    606.00
     10.00,     31.00,    272.00,     52.00,      1.00,     72.00,    171.00,      2.00,    344.00,    223.00,      3.00,    325.00,    245.00,    570.00
     10.00,     32.00,    230.00,     35.00,         0,     57.00,    113.00,         0,    287.00,    148.00,         0,    265.00,    170.00,    435.00
     10.00,     33.00,    552.00,     86.00,         0,    239.00,    572.00,         0,    791.00,    658.00,         0,    638.00,    811.00,   1449.00
     10.00,     34.00,    303.00,     44.00,      2.00,    139.00,    240.00,      3.00,    442.00,    284.00,      5.00,    349.00,    382.00,    731.00
