ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
     43.00,     11.00,   1029.00,    214.00,    119.00,    224.00,    392.00,     71.00,   1253.00,    606.00,    190.00,   1362.00,    687.00,   2049.00
     43.00,     12.00,    539.00,    122.00,     50.00,    118.00,    317.00,     41.00,    657.00,    439.00,     91.00,    711.00,    476.00,   1187.00
     43.00,     15.00,     24.00,      5.00,         0,     10.00,     33.00,         0,     34.00,     38.00,         0,     29.00,     43.00,     72.00
     43.00,     16.00,      3.00,      1.00,         0,      2.00,     13.00,         0,      5.00,     14.00,         0,      4.00,     15.00,     19.00
     43.00,     17.00,    129.00,     29.00,         0,     44.00,     86.00,      1.00,    173.00,    115.00,      1.00,    158.00,    131.00,    289.00
     43.00,     18.00,    221.00,     39.00,      2.00,     54.00,    162.00,      4.00,    275.00,    201.00,      6.00,    262.00,    220.00,    482.00
     43.00,     21.00,    496.00,     77.00,    180.00,     55.00,     54.00,     17.00,    551.00,    131.00,    197.00,    753.00,    126.00,    879.00
     43.00,     22.00,    877.00,    171.00,     18.00,    347.00,    791.00,     12.00,   1224.00,    962.00,     30.00,   1066.00,   1150.00,   2216.00
     43.00,     23.00,    470.00,     97.00,     24.00,    118.00,    201.00,     18.00,    588.00,    298.00,     42.00,    591.00,    337.00,    928.00
     43.00,     24.00,    373.00,     93.00,      6.00,    100.00,    269.00,      4.00,    473.00,    362.00,     10.00,    472.00,    373.00,    845.00
     43.00,     31.00,    461.00,    107.00,      6.00,     98.00,    220.00,      1.00,    559.00,    327.00,      7.00,    574.00,    319.00,    893.00
     43.00,     32.00,    684.00,    124.00,      9.00,    224.00,    455.00,      8.00,    908.00,    579.00,     17.00,    817.00,    687.00,   1504.00
     43.00,     33.00,    249.00,     53.00,      3.00,     51.00,    140.00,      5.00,    300.00,    193.00,      8.00,    305.00,    196.00,    501.00
     43.00,     34.00,    326.00,     65.00,      4.00,     80.00,    242.00,      5.00,    406.00,    307.00,      9.00,    395.00,    327.00,    722.00
     43.00,     35.00,   1431.00,    261.00,     34.00,    461.00,    817.00,     25.00,   1892.00,   1078.00,     59.00,   1726.00,   1303.00,   3029.00
     43.00,     36.00,    617.00,    125.00,     21.00,    176.00,    753.00,     12.00,    793.00,    878.00,     33.00,    763.00,    941.00,   1704.00
     43.00,     41.00,   6349.00,   1099.00,    270.00,   6989.00,  15548.00,    447.00,  13338.00,  16647.00,    717.00,   7718.00,  22984.00,  30702.00
     43.00,     43.00,  23500.00,   3637.00,   1195.00,  39188.00,  58899.00,   2681.00,  62688.00,  62536.00,   3876.00,  28332.00, 100768.00, 129100.00
     43.00,     44.00,   8406.00,   1584.00,    333.00,   9973.00,  23493.00,    634.00,  18379.00,  25077.00,    967.00,  10323.00,  34100.00,  44423.00
     43.00,     45.00,   1926.00,    332.00,     63.00,   3159.00,   5473.00,    171.00,   5085.00,   5805.00,    234.00,   2321.00,   8803.00,  11124.00
     43.00,     46.00,   3139.00,    536.00,    213.00,   5864.00,   9046.00,    498.00,   9003.00,   9582.00,    711.00,   3888.00,  15408.00,  19296.00
     43.00,     47.00,   3714.00,    663.00,    198.00,   5020.00,  10517.00,    381.00,   8734.00,  11180.00,    579.00,   4575.00,  15918.00,  20493.00
     43.00,     48.00,   2955.00,    586.00,    116.00,   2234.00,   7027.00,    306.00,   5189.00,   7613.00,    422.00,   3657.00,   9567.00,  13224.00
     43.00,     49.00,   2362.00,    438.00,     73.00,   1340.00,   3314.00,    123.00,   3702.00,   3752.00,    196.00,   2873.00,   4777.00,   7650.00
     43.00,     51.00,    202.00,     49.00,      2.00,     56.00,    197.00,         0,    258.00,    246.00,      2.00,    253.00,    253.00,    506.00
     43.00,     52.00,    315.00,     67.00,      9.00,     81.00,    239.00,      6.00,    396.00,    306.00,     15.00,    391.00,    326.00,    717.00
     43.00,     61.00,    119.00,     22.00,      4.00,     42.00,     76.00,      2.00,    161.00,     98.00,      6.00,    145.00,    120.00,    265.00
     43.00,     62.00,    190.00,     29.00,      2.00,     44.00,     99.00,      2.00,    234.00,    128.00,      4.00,    221.00,    145.00,    366.00
     43.00,     71.00,    624.00,    152.00,      3.00,    192.00,    615.00,     10.00,    816.00,    767.00,     13.00,    779.00,    817.00,   1596.00
     43.00,     72.00,   1536.00,    352.00,     12.00,    522.00,   2394.00,     54.00,   2058.00,   2746.00,     66.00,   1900.00,   2970.00,   4870.00
     43.00,     73.00,    400.00,     69.00,      1.00,    104.00,    302.00,     11.00,    504.00,    371.00,     12.00,    470.00,    417.00,    887.00
     43.00,     74.00,   2095.00,    396.00,     34.00,   1277.00,   4825.00,    211.00,   3372.00,   5221.00,    245.00,   2525.00,   6313.00,   8838.00
     43.00,     75.00,   1254.00,    234.00,     16.00,    812.00,   3003.00,     75.00,   2066.00,   3237.00,     91.00,   1504.00,   3890.00,   5394.00
     43.00,     76.00,   1070.00,    230.00,      8.00,    513.00,   2228.00,     40.00,   1583.00,   2458.00,     48.00,   1308.00,   2781.00,   4089.00
     43.00,     81.00,    519.00,    101.00,      9.00,    188.00,    536.00,      7.00,    707.00,    637.00,     16.00,    629.00,    731.00,   1360.00
     43.00,     82.00,    249.00,     35.00,         0,     76.00,    380.00,      1.00,    325.00,    415.00,      1.00,    284.00,    457.00,    741.00
     43.00,     83.00,    389.00,     69.00,         0,    119.00,    205.00,      4.00,    508.00,    274.00,      4.00,    458.00,    328.00,    786.00
     43.00,     91.00,    317.00,     56.00,      1.00,    102.00,    309.00,      6.00,    419.00,    365.00,      7.00,    374.00,    417.00,    791.00
     43.00,     92.00,    338.00,     79.00,      3.00,     95.00,    274.00,      5.00,    433.00,    353.00,      8.00,    420.00,    374.00,    794.00
     43.00,    101.00,     70.00,     13.00,         0,     22.00,     38.00,      2.00,     92.00,     51.00,      2.00,     83.00,     62.00,    145.00
     43.00,    102.00,     43.00,     12.00,         0,     16.00,    133.00,         0,     59.00,    145.00,         0,     55.00,    149.00,    204.00
     43.00,    111.00,      3.00,      2.00,         0,      3.00,      5.00,         0,      6.00,      7.00,         0,      5.00,      8.00,     13.00
     43.00,    112.00,      9.00,      3.00,      1.00,      2.00,     19.00,         0,     11.00,     22.00,      1.00,     13.00,     21.00,     34.00
     43.00,    113.00,     17.00,      6.00,         0,      6.00,     23.00,         0,     23.00,     29.00,         0,     23.00,     29.00,     52.00
     43.00,    114.00,     58.00,     12.00,      1.00,     17.00,     77.00,         0,     75.00,     89.00,      1.00,     71.00,     94.00,    165.00
     43.00,    121.00,     53.00,     14.00,      1.00,     30.00,     56.00,         0,     83.00,     70.00,      1.00,     68.00,     86.00,    154.00
     43.00,    122.00,      5.00,         0,         0,         0,      4.00,         0,      5.00,      4.00,         0,      5.00,      4.00,      9.00
     43.00,    123.00,     29.00,      5.00,         0,     15.00,     41.00,         0,     44.00,     46.00,         0,     34.00,     56.00,     90.00
     43.00,    124.00,      2.00,         0,         0,         0,      2.00,         0,      2.00,      2.00,         0,      2.00,      2.00,      4.00
     43.00,    131.00,     28.00,      3.00,         0,     11.00,     53.00,         0,     39.00,     56.00,         0,     31.00,     64.00,     95.00
     43.00,    132.00,    157.00,     29.00,      5.00,     41.00,     80.00,      5.00,    198.00,    109.00,     10.00,    191.00,    126.00,    317.00
